call_id,timestamp,duration,agent,queue,team,department,team_leader,customer_number
GEN-E71A84A5,2026-01-01 14:04:25,174,agent.007,General Support,Tech L1,Technical Service,leader.techl1,+905558904779
GEN-07F9F3A5,2026-01-08 17:19:46,82,agent.004,Sales Line,Retention,Sales,leader.retention,+905559613994
GEN-3ADA05B0,2026-01-10 11:18:56,203,agent.049,Sales Line,Inbound B,Customer Support,leader.inboundb,+905553517946
GEN-1B07FEC7,2025-12-19 14:26:10,168,agent.025,Tech Support,Tech L2,Technical Service,leader.techl2,+905555338874
GEN-7457383D,2025-12-25 11:19:43,125,agent.021,VIP Line,Tech L1,Technical Service,leader.techl1,+905554378486
GEN-4975B177,2026-01-02 11:58:28,221,agent.006,General Support,Retention,Sales,leader.retention,+905556724114
GEN-14C18F22,2026-01-03 06:18:41,266,agent.010,General Support,Tech L1,Technical Service,leader.techl1,+905558692293
GEN-4989E67F,2025-12-26 16:35:24,242,agent.025,General Support,Tech L2,Technical Service,leader.techl2,+905554438631
GEN-247E0CA3,2026-01-06 11:48:41,200,agent.034,VIP Line,VIP Support,Customer Support,leader.vipsupport,+905553238347
GEN-5CC42DD8,2025-12-18 12:22:23,175,agent.044,General Support,Inbound A,Customer Support,leader.inbounda,+905552358833
GEN-57DB96A0,2026-01-13 16:27:13,126,agent.045,VIP Line,Inbound B,Customer Support,leader.inboundb,+905559865358
GEN-0E1443AB,2026-01-12 16:52:42,205,agent.049,VIP Line,Inbound B,Customer Support,leader.inboundb,+905552115818
GEN-24EDC019,2026-01-08 18:34:49,139,agent.006,Tech Support,Retention,Sales,leader.retention,+905554924557
GEN-25B9E2DF,2026-01-08 07:52:41,169,agent.003,VIP Line,Inbound A,Customer Support,leader.inbounda,+905552055192
GEN-5A571277,2026-01-13 14:17:22,161,agent.009,Sales Line,Inbound A,Customer Support,leader.inbounda,+905556212148
GEN-5E49DFD6,2026-01-14 15:24:52,140,agent.023,General Support,Inbound A,Customer Support,leader.inbounda,+905554975708
GEN-6AB9C2DF,2025-12-26 14:17:03,159,agent.030,VIP Line,VIP Support,Customer Support,leader.vipsupport,+905557868502
